year,fire_number,fire_start_date,start_month,start_doy,latitude,longitude,fire_origin,general_cause,grid_id_30000m
2022,CWF064,2022-05-23 12:00:00,5.0,143.0,51.2781,-115.1478,Provincial Land,Recreation,"154,66"
2022,PWF022,2022-05-26 16:00:00,5.0,146.0,56.544933,-119.553567,Private Land,Agriculture Industry,"153,87"
2022,HWF011,2022-05-26 17:36:00,5.0,146.0,58.535283,-118.934967,Provincial Land,Power Line Industry,"157,93"
2022,RWF032,2022-05-27 10:00:00,5.0,147.0,52.480583,-115.750967,Provincial Land,Recreation,"154,70"
2022,HWF029,2022-06-11 11:25:00,6.0,162.0,59.221783,-114.531267,Provincial Land,Lightning,"166,92"
2022,GWF022,2022-06-11 17:28:00,6.0,162.0,54.514167,-117.396967,Provincial Land,Lightning,"154,79"
2022,GWF023,2022-06-12 13:00:00,6.0,163.0,55.279417,-119.90805,Private Land,Resident,"150,83"
2022,MWF015,2022-06-12 16:00:00,6.0,163.0,59.817133,-111.118583,Provincial Land,Lightning,"172,92"
2022,LWF099,2022-06-13 12:45:00,6.0,164.0,56.163217,-110.65525,Provincial Land,Lightning,"169,79"
2022,MWF019,2022-06-13 14:00:00,6.0,164.0,57.175583,-110.38455,Provincial Land,Lightning,"171,83"
2022,MWF020,2022-06-13 13:40:00,6.0,164.0,57.247867,-110.679767,Provincial Land,Lightning,"170,83"
2022,MWF021,2022-06-13 15:30:00,6.0,164.0,57.337302,-111.024469,Provincial Land,Lightning,"170,84"
2022,HWF054,2022-07-10 15:58:00,7.0,191.0,58.832783,-115.130083,Provincial Land,Lightning,"164,91"
2022,LWF123,2022-07-19 17:30:00,7.0,200.0,55.249483,-112.391983,Provincial Land,Other Industry,"165,77"
2022,SWF083,2022-07-19 17:00:00,7.0,200.0,55.255033,-116.148117,Provincial Land,Lightning,"157,80"
2022,SWF085,2022-07-19 20:45:00,7.0,200.0,55.9772,-113.75665,Provincial Land,Resident,"163,81"
2022,LWF124,2022-07-20 13:30:00,7.0,201.0,56.161417,-110.430333,Provincial Land,Lightning,"170,79"
2022,GWF029,2022-07-15 20:10:00,7.0,196.0,55.177733,-117.41455,Provincial Land,Lightning,"155,81"
2022,CWF108,2022-07-21 06:00:00,7.0,202.0,51.53,-115.183,Provincial Park,Recreation,"154,67"
2022,LWF127,2022-07-21 17:30:00,7.0,202.0,55.2506,-112.471967,Provincial Land,Power Line Industry,"165,77"
2022,SWF086,2022-07-21 18:00:00,7.0,202.0,56.4166,-113.172783,Provincial Land,Lightning,"165,82"
2022,PWF054,2022-07-22 10:45:00,7.0,203.0,56.424717,-119.1769,Private Land,Resident,"153,86"
2022,LWF126,2022-07-21 14:37:00,7.0,202.0,54.6353,-113.830083,Provincial Park,Power Line Industry,"161,76"
2022,LWF128,2022-07-23 04:20:00,7.0,204.0,54.878817,-113.366267,Private Land,Resident,"162,77"
2022,PWF055,2022-07-23 17:30:00,7.0,204.0,57.547883,-117.488267,Provincial Land,Lightning,"158,89"
2022,RWF040,2022-07-23 00:00:00,7.0,204.0,52.714883,-115.49855,Provincial Land,Lightning,"155,71"
2022,RWF041,2022-07-23 18:00:00,7.0,204.0,52.816467,-115.174633,Provincial Land,Recreation,"156,71"
2022,GWF030,2022-07-23 16:00:00,7.0,204.0,55.06315,-118.658717,Provincial Land,Recreation,"152,82"
2022,LWF129,2022-07-26 13:00:00,7.0,207.0,55.495767,-113.274033,Provincial Land,Lightning,"163,79"
2022,MWF059,2022-07-24 15:00:00,7.0,205.0,56.544717,-111.556233,Provincial Land,Lightning,"168,81"
2022,PWF058,2022-07-27 15:45:00,7.0,208.0,57.1347,-117.788283,Provincial Land,Lightning,"157,88"
2022,PWF059,2022-07-27 22:00:00,7.0,208.0,56.69466,-119.284452,Provincial Land,Lightning,"154,87"
2022,CWF109,2022-07-29 06:00:00,7.0,210.0,49.65545,-114.542367,Provincial Land,Recreation,"153,60"
2022,GWF033,2022-07-28 12:25:00,7.0,209.0,55.118617,-117.209833,Private Land,Agriculture Industry,"155,80"
2022,HWF035,2022-06-25 14:06:00,6.0,176.0,59.438283,-117.679417,Provincial Land,Lightning,"160,95"
2022,HWF046,2022-07-05 18:47:00,7.0,186.0,58.514833,-119.976333,Provincial Land,Lightning,"155,94"
2022,HWF049,2022-07-06 16:10:00,7.0,187.0,58.723445,-119.327878,Provincial Land,Lightning,"157,94"
2022,MWF037,2022-07-05 18:39:00,7.0,186.0,56.45945,-112.597683,Provincial Land,Lightning,"166,82"
2022,HWF050,2022-07-06 18:40:00,7.0,187.0,59.978167,-117.746833,Provincial Land,Lightning,"161,97"
2022,PWF037,2022-07-07 10:00:00,7.0,188.0,56.349037,-118.553742,Provincial Land,Recreation,"154,86"
2022,PWF038,2022-07-08 09:30:00,7.0,189.0,56.62645,-117.688433,Private Land,Resident,"156,86"
2022,MWF038,2022-07-08 17:04:00,7.0,189.0,56.540497,-112.487022,Provincial Land,Lightning,"166,82"
2022,MWF039,2022-07-08 22:30:00,7.0,189.0,58.93695,-111.090617,Provincial Land,Lightning,"171,89"
2022,WWF037,2022-07-06 18:47:00,7.0,187.0,54.500408,-117.415977,Provincial Land,Lightning,"154,79"
2022,CWF105,2022-07-10 06:00:00,7.0,191.0,51.169417,-114.759167,Indian Reservation,Resident,"155,65"
2022,HWF052,2022-07-09 23:34:00,7.0,190.0,58.519283,-115.77555,Private Land,Incendiary,"162,91"
2022,PWF024,2022-06-10 12:00:00,6.0,161.0,56.47523,-116.40932,Indian Reservation,Lightning,"159,84"
2022,MWF022,2022-06-13 16:00:00,6.0,164.0,59.418367,-110.812683,Provincial Land,Lightning,"172,91"
2022,MWF023,2022-06-13 18:00:00,6.0,164.0,59.400417,-110.669083,Provincial Land,Lightning,"173,91"
2022,MWF025,2022-06-13 18:31:00,6.0,164.0,56.682867,-110.714433,Provincial Land,Lightning,"170,81"
2022,SWF041,2022-06-11 14:00:00,6.0,162.0,56.918,-114.638983,Provincial Land,Lightning,"162,85"
2022,PWF025,2022-06-14 18:20:00,6.0,165.0,57.21455,-117.00777,Provincial Land,Lightning,"159,87"
2022,HWF040,2022-06-25 18:24:00,6.0,176.0,58.968,-118.179167,Provincial Land,Lightning,"159,94"
2022,MWF031,2022-06-25 18:21:00,6.0,176.0,59.031033,-111.156367,Provincial Land,Lightning,"171,90"
2022,SWF045,2022-06-26 13:04:00,6.0,177.0,56.64978,-113.560092,Provincial Land,Lightning,"164,83"
2022,PWF028,2022-06-27 13:00:00,6.0,178.0,57.047833,-117.490267,Private Land,Agriculture Industry,"157,87"
